ID,TIME,VALUE,AQI,POLLUTION
1,2023:02:04 11:00:00,-0.0,368,Hazardous
2,2023:02:04 11:00:00,-0.0,288,Very unhealthy
3,2023:02:04 11:00:00,-0.0,288,Very unhealthy
1,2023:02:04 12:00:00,-0.0,304,Hazardous
2,2023:02:04 12:00:00,-0.0,320,Hazardous
3,2023:02:04 12:00:00,-0.0,304,Hazardous
1,2023:02:04 13:00:00,-0.0,288,Very unhealthy
2,2023:02:04 13:00:00,-0.0,320,Hazardous
3,2023:02:04 13:00:00,-0.0,304,Hazardous
1,2023:02:04 14:00:00,-0.0,320,Hazardous
2,2023:02:04 14:00:00,-0.0,304,Hazardous
3,2023:02:04 14:00:00,-0.0,304,Hazardous
1,2023:02:04 15:00:00,-0.0,320,Hazardous
2,2023:02:04 15:00:00,-0.0,304,Hazardous
3,2023:02:04 15:00:00,-0.0,256,Very unhealthy
1,2023:02:04 16:00:00,-0.0,288,Very unhealthy
2,2023:02:04 16:00:00,-0.0,320,Hazardous
3,2023:02:04 16:00:00,-0.0,352,Hazardous
1,2023:02:04 17:00:00,-0.0,304,Hazardous
2,2023:02:04 17:00:00,-0.0,304,Hazardous
3,2023:02:04 17:00:00,-0.0,304,Hazardous
1,2023:02:04 18:00:00,-0.0,320,Hazardous
2,2023:02:04 18:00:00,-0.0,288,Very unhealthy
3,2023:02:04 18:00:00,-0.0,336,Hazardous
1,2023:02:04 19:00:00,-0.0,288,Very unhealthy
2,2023:02:04 19:00:00,-0.0,336,Hazardous
3,2023:02:04 19:00:00,-0.0,256,Very unhealthy
1,2023:02:04 20:00:00,-0.0,256,Very unhealthy
2,2023:02:04 20:00:00,-0.0,320,Hazardous
3,2023:02:04 20:00:00,-0.0,288,Very unhealthy
1,2023:02:04 21:00:00,-0.0,288,Very unhealthy
2,2023:02:04 21:00:00,-0.0,304,Hazardous
3,2023:02:04 21:00:00,-0.0,288,Very unhealthy
1,2023:02:04 22:00:00,-0.0,368,Hazardous
2,2023:02:04 22:00:00,-0.0,336,Hazardous
3,2023:02:04 22:00:00,-0.0,336,Hazardous
1,2023:02:04 23:00:00,-0.0,336,Hazardous
2,2023:02:04 23:00:00,-0.0,304,Hazardous
3,2023:02:04 23:00:00,-0.0,336,Hazardous
1,2023:02:05 00:00:00,-0.0,320,Hazardous
2,2023:02:05 00:00:00,-0.0,304,Hazardous
3,2023:02:05 00:00:00,-0.0,320,Hazardous
1,2023:02:05 01:00:00,-0.0,304,Hazardous
2,2023:02:05 01:00:00,-0.0,304,Hazardous
3,2023:02:05 01:00:00,-0.0,256,Very unhealthy
1,2023:02:05 02:00:00,-0.0,304,Hazardous
2,2023:02:05 02:00:00,-0.0,320,Hazardous
3,2023:02:05 02:00:00,-0.0,320,Hazardous
1,2023:02:05 03:00:00,-0.0,288,Very unhealthy
2,2023:02:05 03:00:00,-0.0,304,Hazardous
3,2023:02:05 03:00:00,-0.0,304,Hazardous
1,2023:02:05 04:00:00,-0.0,256,Very unhealthy
2,2023:02:05 04:00:00,-0.0,304,Hazardous
3,2023:02:05 04:00:00,-0.0,336,Hazardous
1,2023:02:05 05:00:00,-0.0,336,Hazardous
2,2023:02:05 05:00:00,-0.0,320,Hazardous
3,2023:02:05 05:00:00,-0.0,304,Hazardous
1,2023:02:05 06:00:00,-0.0,320,Hazardous
2,2023:02:05 06:00:00,-0.0,304,Hazardous
3,2023:02:05 06:00:00,-0.0,288,Very unhealthy
1,2023:02:05 07:00:00,-0.0,336,Hazardous
2,2023:02:05 07:00:00,-0.0,272,Very unhealthy
3,2023:02:05 07:00:00,-0.0,304,Hazardous
1,2023:02:05 08:00:00,-0.0,320,Hazardous
2,2023:02:05 08:00:00,-0.0,352,Hazardous
3,2023:02:05 08:00:00,-0.0,272,Very unhealthy
1,2023:02:05 09:00:00,-0.0,288,Very unhealthy
2,2023:02:05 09:00:00,-0.0,272,Very unhealthy
3,2023:02:05 09:00:00,-0.0,256,Very unhealthy
1,2023:02:05 10:00:00,-0.0,320,Hazardous
2,2023:02:05 10:00:00,-0.0,256,Very unhealthy
3,2023:02:05 10:00:00,-0.0,304,Hazardous
1,2023:02:05 11:00:00,-0.0,320,Hazardous
2,2023:02:05 11:00:00,-0.0,320,Hazardous
3,2023:02:05 11:00:00,-0.0,304,Hazardous
1,2023:02:05 12:00:00,-0.0,320,Hazardous
2,2023:02:05 12:00:00,-0.0,304,Hazardous
3,2023:02:05 12:00:00,-0.0,336,Hazardous
1,2023:02:05 13:00:00,-0.0,288,Very unhealthy
2,2023:02:05 13:00:00,-0.0,304,Hazardous
3,2023:02:05 13:00:00,-0.0,288,Very unhealthy
1,2023:02:05 14:00:00,-0.0,320,Hazardous
2,2023:02:05 14:00:00,-0.0,304,Hazardous
3,2023:02:05 14:00:00,-0.0,304,Hazardous
1,2023:02:05 15:00:00,-0.0,304,Hazardous
2,2023:02:05 15:00:00,-0.0,288,Very unhealthy
3,2023:02:05 15:00:00,-0.0,336,Hazardous
1,2023:02:05 16:00:00,-0.0,304,Hazardous
2,2023:02:05 16:00:00,-0.0,272,Very unhealthy
3,2023:02:05 16:00:00,-0.0,336,Hazardous
1,2023:02:05 17:00:00,-0.0,288,Very unhealthy
2,2023:02:05 17:00:00,-0.0,304,Hazardous
3,2023:02:05 17:00:00,-0.0,304,Hazardous
1,2023:02:05 18:00:00,-0.0,272,Very unhealthy
2,2023:02:05 18:00:00,-0.0,304,Hazardous
3,2023:02:05 18:00:00,-0.0,320,Hazardous
1,2023:02:05 19:00:00,-0.0,320,Hazardous
2,2023:02:05 19:00:00,-0.0,288,Very unhealthy
3,2023:02:05 19:00:00,-0.0,304,Hazardous
1,2023:02:05 20:00:00,-0.0,288,Very unhealthy
2,2023:02:05 20:00:00,-0.0,272,Very unhealthy
3,2023:02:05 20:00:00,-0.0,336,Hazardous
1,2023:02:05 21:00:00,-0.0,304,Hazardous
2,2023:02:05 21:00:00,-0.0,304,Hazardous
3,2023:02:05 21:00:00,-0.0,336,Hazardous
1,2023:02:05 22:00:00,-0.0,304,Hazardous
2,2023:02:05 22:00:00,-0.0,288,Very unhealthy
3,2023:02:05 22:00:00,-0.0,304,Hazardous
1,2023:02:05 23:00:00,-0.0,272,Very unhealthy
2,2023:02:05 23:00:00,-0.0,304,Hazardous
3,2023:02:05 23:00:00,-0.0,336,Hazardous
1,2023:02:06 00:00:00,-0.0,320,Hazardous
2,2023:02:06 00:00:00,-0.0,288,Very unhealthy
3,2023:02:06 00:00:00,-0.0,320,Hazardous
1,2023:02:06 01:00:00,-0.0,304,Hazardous
2,2023:02:06 01:00:00,-0.0,288,Very unhealthy
3,2023:02:06 01:00:00,-0.0,320,Hazardous
1,2023:02:06 02:00:00,-0.0,272,Very unhealthy
2,2023:02:06 02:00:00,-0.0,320,Hazardous
3,2023:02:06 02:00:00,-0.0,304,Hazardous
1,2023:02:06 03:00:00,-0.0,304,Hazardous
2,2023:02:06 03:00:00,-0.0,320,Hazardous
3,2023:02:06 03:00:00,-0.0,320,Hazardous
1,2023:02:06 04:00:00,-0.0,336,Hazardous
2,2023:02:06 04:00:00,-0.0,336,Hazardous
3,2023:02:06 04:00:00,-0.0,304,Hazardous
1,2023:02:06 05:00:00,-0.0,272,Very unhealthy
2,2023:02:06 05:00:00,-0.0,272,Very unhealthy
3,2023:02:06 05:00:00,-0.0,288,Very unhealthy
1,2023:02:06 06:00:00,-0.0,304,Hazardous
2,2023:02:06 06:00:00,-0.0,304,Hazardous
3,2023:02:06 06:00:00,-0.0,320,Hazardous
1,2023:02:06 07:00:00,-0.0,336,Hazardous
2,2023:02:06 07:00:00,-0.0,336,Hazardous
3,2023:02:06 07:00:00,-0.0,336,Hazardous
