ID,TIME,VALUE,AQI,POLLUTION
1,2023:02:04 13:00:00,-68057853602161221000000000000000000000.0,303,Hazardous
1,2023:02:06 10:00:00,-12760934067558695000000000000000000000.0,302,Hazardous
1,2023:02:05 09:00:00,-3721838324815234400000000000000000000.0,301,Hazardous
1,2023:02:04 19:00:00,-4673067048887340900000000000000000.0,296,Very unhealthy
1,2023:02:05 03:00:00,-649037107316853450000000000000000.0,295,Very unhealthy
1,2023:02:05 13:00:00,-259620108040470970000000000000000.0,294,Very unhealthy
1,2023:02:04 16:00:00,-16226256752529435000000000000000.0,292,Very unhealthy
1,2023:02:05 20:00:00,-14197686480771005000000000000000.0,292,Very unhealthy
1,2023:02:05 17:00:00,-4563542039929043900000000000000.0,291,Very unhealthy
1,2023:02:04 21:00:00,-1267650600228229400000000000000.0,291,Very unhealthy
1,2023:02:05 18:00:00,-2971136492574283500000000000.0,286,Very unhealthy
1,2023:02:06 05:00:00,-216639503185592730000000000.0,284,Very unhealthy
1,2023:02:06 02:00:00,-13222625926855025000000.0,277,Very unhealthy
1,2023:02:05 23:00:00,-3305656481713756300000.0,276,Very unhealthy
1,2023:02:05 04:00:00,-129703665832296450.0,269,Very unhealthy
1,2023:02:04 20:00:00,-394064960684032.0,265,Very unhealthy
1,2022:11:26 00:01:00,-235929.6,137,Slightly unhealthy
1,2023:02:05 22:00:00,0.0,311,Hazardous
1,2023:02:05 15:00:00,0.0,314,Hazardous
1,2023:02:06 06:00:00,0.0,315,Hazardous
1,2023:02:06 03:00:00,0.0,316,Hazardous
1,2023:02:05 16:00:00,0.0,316,Hazardous
1,2023:02:04 17:00:00,0.0,316,Hazardous
1,2023:02:05 02:00:00,0.0,316,Hazardous
1,2023:02:05 21:00:00,0.0,319,Hazardous
1,2023:02:06 01:00:00,0.0,319,Hazardous
1,2023:02:04 12:00:00,0.0,319,Hazardous
1,2023:02:05 01:00:00,0.0,319,Hazardous
1,2023:02:05 11:00:00,0.0,320,Hazardous
1,2023:02:05 08:00:00,0.0,321,Hazardous
1,2023:02:05 14:00:00,0.0,322,Hazardous
1,2023:02:06 09:00:00,0.0,323,Hazardous
1,2023:02:06 00:00:00,0.0,324,Hazardous
1,2023:02:05 00:00:00,0.0,326,Hazardous
1,2023:02:04 14:00:00,0.0,326,Hazardous
1,2023:02:05 10:00:00,0.0,328,Hazardous
1,2023:02:05 06:00:00,0.0,328,Hazardous
1,2023:02:04 18:00:00,0.0,329,Hazardous
1,2023:02:04 15:00:00,0.0,330,Hazardous
1,2023:02:05 19:00:00,0.0,331,Hazardous
1,2023:02:05 12:00:00,0.0,333,Hazardous
1,2023:02:06 07:00:00,0.0,336,Hazardous
1,2023:02:05 07:00:00,0.0,339,Hazardous
1,2023:02:06 04:00:00,0.0,340,Hazardous
1,2023:02:04 23:00:00,0.0,343,Hazardous
1,2023:02:05 05:00:00,0.0,346,Hazardous
1,2023:02:06 08:00:00,0.0,352,Hazardous
1,2023:02:06 11:00:00,0.0,366,Hazardous
1,2023:02:04 11:00:00,0.0,371,Hazardous
1,2023:02:04 22:00:00,0.0,377,Hazardous
2,2023:02:05 23:00:00,-170141183460469230000000000000000000000.0,304,Hazardous
2,2023:02:06 10:00:00,-51043736270234778000000000000000000000.0,303,Hazardous
2,2023:02:06 01:00:00,-398779189611209200000000000000000000.0,300,Hazardous
2,2023:02:05 19:00:00,-33231373829180284000000000000000000.0,298,Very unhealthy
2,2023:02:05 15:00:00,-29076861912619019000000000000000000.0,298,Very unhealthy
2,2023:02:06 00:00:00,-1817303869538688700000000000000000.0,296,Very unhealthy
2,2023:02:04 11:00:00,-1168266762221835200000000000000000.0,295,Very unhealthy
2,2023:02:05 22:00:00,-81129638414606682000000000000000.0,293,Very unhealthy
2,2023:02:04 18:00:00,-73016672638864702000000000000000.0,293,Very unhealthy
2,2023:02:05 09:00:00,-13864928203877935000000000000.0,287,Very unhealthy
2,2023:02:05 07:00:00,-4456584023368206900000000000.0,286,Very unhealthy
2,2023:02:06 05:00:00,-69634125365128233000000000.0,283,Very unhealthy
2,2023:02:05 16:00:00,-30949128632601615000000000.0,283,Very unhealthy
2,2023:02:05 20:00:00,-1934320539537600900000000.0,281,Very unhealthy
2,2023:02:05 10:00:00,-64851832916148224.0,268,Very unhealthy
2,2023:02:05 21:00:00,0.0,305,Hazardous
2,2023:02:04 21:00:00,0.0,306,Hazardous
2,2023:02:04 15:00:00,0.0,307,Hazardous
2,2023:02:06 08:00:00,0.0,307,Hazardous
2,2023:02:05 06:00:00,0.0,307,Hazardous
2,2023:02:05 01:00:00,0.0,310,Hazardous
2,2023:02:05 13:00:00,0.0,310,Hazardous
2,2023:02:04 23:00:00,0.0,312,Hazardous
2,2023:02:05 18:00:00,0.0,314,Hazardous
2,2023:02:05 00:00:00,0.0,314,Hazardous
2,2023:02:06 06:00:00,0.0,314,Hazardous
2,2023:02:05 04:00:00,0.0,316,Hazardous
2,2023:02:05 12:00:00,0.0,318,Hazardous
2,2023:02:05 14:00:00,0.0,318,Hazardous
2,2023:02:04 17:00:00,0.0,318,Hazardous
2,2023:02:04 14:00:00,0.0,319,Hazardous
2,2023:02:05 03:00:00,0.0,319,Hazardous
2,2023:02:05 17:00:00,0.0,319,Hazardous
2,2023:02:05 11:00:00,0.0,321,Hazardous
2,2023:02:06 11:00:00,0.0,322,Hazardous
2,2023:02:06 02:00:00,0.0,322,Hazardous
2,2023:02:05 05:00:00,0.0,324,Hazardous
2,2023:02:05 02:00:00,0.0,325,Hazardous
2,2023:02:04 20:00:00,0.0,325,Hazardous
2,2023:02:04 13:00:00,0.0,326,Hazardous
2,2023:02:06 09:00:00,0.0,330,Hazardous
2,2023:02:06 03:00:00,0.0,330,Hazardous
2,2023:02:04 16:00:00,0.0,330,Hazardous
2,2023:02:04 12:00:00,0.0,330,Hazardous
2,2023:02:06 04:00:00,0.0,336,Hazardous
2,2023:02:06 07:00:00,0.0,336,Hazardous
2,2023:02:04 22:00:00,0.0,339,Hazardous
2,2023:02:04 19:00:00,0.0,345,Hazardous
2,2023:02:05 08:00:00,0.0,352,Hazardous
3,2023:02:05 19:00:00,-272231414408644880000000000000000000000.0,304,Hazardous
3,2023:02:05 06:00:00,-42535295865117308000000000000000000000.0,303,Hazardous
3,2023:02:06 05:00:00,-34028926801080611000000000000000000000.0,303,Hazardous
3,2023:02:04 11:00:00,-6380467033779347300000000000000000000.0,302,Hazardous
3,2023:02:05 13:00:00,-598152582257579640000000000000000000.0,300,Hazardous
3,2023:02:04 21:00:00,-74769072782197455000000000000000000.0,298,Very unhealthy
3,2023:02:04 20:00:00,-316912650057057350000000000000.0,289,Very unhealthy
3,2023:02:06 08:00:00,-433279006371185470000000000.0,285,Very unhealthy
3,2023:02:05 08:00:00,-17408531341282058000000000.0,282,Very unhealthy
3,2023:02:05 09:00:00,-403522519740448770.0,270,Very unhealthy
3,2023:02:04 19:00:00,-109953392640.0,259,Very unhealthy
3,2023:02:04 15:00:00,-20616400896.0,258,Very unhealthy
3,2023:02:05 01:00:00,-7730940928.0,257,Very unhealthy
3,2023:02:05 22:00:00,0.0,305,Hazardous
3,2023:02:05 03:00:00,0.0,306,Hazardous
3,2023:02:05 17:00:00,0.0,306,Hazardous
3,2023:02:05 14:00:00,0.0,307,Hazardous
3,2023:02:04 13:00:00,0.0,309,Hazardous
3,2023:02:05 07:00:00,0.0,309,Hazardous
3,2023:02:05 05:00:00,0.0,312,Hazardous
3,2023:02:05 11:00:00,0.0,313,Hazardous
3,2023:02:04 14:00:00,0.0,314,Hazardous
3,2023:02:06 04:00:00,0.0,315,Hazardous
3,2023:02:05 10:00:00,0.0,316,Hazardous
3,2023:02:06 02:00:00,0.0,316,Hazardous
3,2023:02:04 17:00:00,0.0,316,Hazardous
3,2023:02:06 06:00:00,0.0,322,Hazardous
3,2023:02:05 18:00:00,0.0,325,Hazardous
3,2023:02:05 02:00:00,0.0,326,Hazardous
3,2023:02:06 03:00:00,0.0,327,Hazardous
3,2023:02:05 00:00:00,0.0,328,Hazardous
3,2023:02:06 10:00:00,0.0,329,Hazardous
3,2023:02:06 00:00:00,0.0,331,Hazardous
3,2023:02:06 01:00:00,0.0,335,Hazardous
3,2023:02:06 09:00:00,0.0,335,Hazardous
3,2023:02:05 04:00:00,0.0,336,Hazardous
3,2023:02:05 15:00:00,0.0,336,Hazardous
3,2023:02:05 23:00:00,0.0,338,Hazardous
3,2023:02:04 23:00:00,0.0,339,Hazardous
3,2023:02:05 20:00:00,0.0,342,Hazardous
3,2023:02:05 16:00:00,0.0,344,Hazardous
3,2023:02:04 18:00:00,0.0,346,Hazardous
3,2023:02:06 07:00:00,0.0,348,Hazardous
3,2023:02:04 22:00:00,0.0,349,Hazardous
3,2023:02:05 12:00:00,0.0,350,Hazardous
3,2023:02:05 21:00:00,0.0,350,Hazardous
3,2023:02:04 12:00:00,-1.$,305,Hazardous
3,2023:02:06 11:00:00,0.0,351,Hazardous
3,2023:02:04 16:00:00,0.0,364,Hazardous
